subset_name,scope,subset_size,eligible_candidates,status,spearman_subset_vs_global,pairwise_agreement,top5_overlap,subset_winner_candidate,subset_winner_class,subset_winner_global_median_ratio,global_oracle_candidate,global_oracle_class,global_oracle_median_ratio,winner_global_rank,subset_winner_subset_rank,global_regret_abs,global_regret_pct
full_core_57,all_candidates,57,147,ok,1.0,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
full_core_57,no_tabpfn,57,143,ok,0.9999999999999998,1.0,1.0,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,1.0,1.0,0.0,0.0
full_core_57,tabpfn_only,57,4,ok,1.0,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
full_core_57,aom_pls_only,57,122,ok,1.0,1.0,1.0,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,1.0,1.0,0.0,0.0
full_core_57,aom_ridge_only,57,0,too_few_candidates,,,,,,,,,,,,,
full_core_57,meta_selector_only,57,10,ok,0.9999999999999999,1.0,1.0,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,1.0,1.0,0.0,0.0
full_core_57,ridge_only,57,0,too_few_candidates,,,,,,,,,,,,,
full_core_57,pls_only,57,3,ok,1.0,1.0,1.0,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,1.0,1.0,0.0,0.0
current_class_balanced_10,all_candidates,10,178,ok,0.9620721977335671,0.9189995556401955,0.8,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
current_class_balanced_10,no_tabpfn,10,174,ok,0.9598035396576979,0.9156866653378513,0.4,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,9.0,1.0,0.02804610352999992,0.028336824302473085
current_class_balanced_10,tabpfn_only,10,4,ok,1.0,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
current_class_balanced_10,aom_pls_only,10,130,ok,0.9593386903818946,0.9128205128205128,0.8,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,1.0,1.0,0.0,0.0
current_class_balanced_10,aom_ridge_only,10,13,ok,0.6483516483516483,0.7435897435897436,0.4,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,1.0,1.0,0.0,0.0
current_class_balanced_10,meta_selector_only,10,10,ok,0.9515151515151514,0.9333333333333333,0.8,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,1.0,1.0,0.0,0.0
current_class_balanced_10,ridge_only,10,4,ok,1.0,1.0,1.0,AOM_v0_multiview | Ridge | ridge_ref | ridge_ref,Ridge,0.9938400909164999,AOM_v0_multiview | Ridge | ridge_ref | ridge_ref,Ridge,0.9938400909164999,1.0,1.0,0.0,0.0
current_class_balanced_10,pls_only,10,5,ok,1.0,1.0,1.0,AOM_v0_multiview | PLS | pls_standard | pls_standard,PLS,1.00665938382,AOM_v0_multiview | PLS | pls_standard | pls_standard,PLS,1.00665938382,1.0,1.0,0.0,0.0
current_conservative_19,all_candidates,19,160,ok,0.919079734671209,0.882311320754717,0.6,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
current_conservative_19,no_tabpfn,19,156,ok,0.9127125070980482,0.8764267990074441,0.6,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-4-fixed | mean-ensemble-4-fixed,Meta-selector/MoE,1.02593528258,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,3.0,1.0,0.008148648120000157,0.008006243984844064
current_conservative_19,tabpfn_only,19,4,ok,1.0,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
current_conservative_19,aom_pls_only,19,130,ok,0.9058201898847726,0.8700059630292188,0.8,AOM_v0 | AOM-PLS | ASLS-AOM-response-dedup-cv3-numpy | ASLS-AOM-response-dedup-cv3-numpy,AOM-PLS,1.04276968775,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,2.0,1.0,0.009247012579999936,0.00894708244159137
current_conservative_19,aom_ridge_only,19,0,too_few_candidates,,,,,,,,,,,,,
current_conservative_19,meta_selector_only,19,10,ok,0.9272727272727272,0.9111111111111111,0.8,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-4-fixed | mean-ensemble-4-fixed,Meta-selector/MoE,1.02593528258,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,3.0,1.0,0.008148648120000157,0.008006243984844064
current_conservative_19,ridge_only,19,1,too_few_candidates,,,,,,,,,,,,,
current_conservative_19,pls_only,19,3,ok,1.0,1.0,1.0,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,1.0,1.0,0.0,0.0
legacy_variant_heavy_10,all_candidates,10,165,ok,0.929225301091341,0.8795269770879527,0.6,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
legacy_variant_heavy_10,no_tabpfn,10,161,ok,0.9265249487613026,0.8769409937888198,0.6,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-4-fixed | mean-ensemble-4-fixed,Meta-selector/MoE,1.02593528258,AOM_v0_MultiKernel | Multi-kernel ridge | MKM-reml-asls | MKM-reml-asls,Multi-kernel ridge,1.00944821401,5.0,1.0,0.01648706857000004,0.016332753222184415
legacy_variant_heavy_10,tabpfn_only,10,4,ok,1.0,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
legacy_variant_heavy_10,aom_pls_only,10,130,ok,0.9289068976725847,0.8778771615980918,0.4,AOM_v0 | AOM-PLS | SPXY-AOM-family-pruned-cv3-numpy | SPXY-AOM-family-pruned-cv3-numpy,AOM-PLS,1.0659431268850001,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,10.0,1.0,0.03242045171500019,0.031368882844943435
legacy_variant_heavy_10,aom_ridge_only,10,0,too_few_candidates,,,,,,,,,,,,,
legacy_variant_heavy_10,meta_selector_only,10,10,ok,0.9515151515151514,0.9333333333333333,1.0,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-4-fixed | mean-ensemble-4-fixed,Meta-selector/MoE,1.02593528258,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,3.0,1.0,0.008148648120000157,0.008006243984844064
legacy_variant_heavy_10,ridge_only,10,1,too_few_candidates,,,,,,,,,,,,,
legacy_variant_heavy_10,pls_only,10,3,ok,0.8660254037844387,0.6666666666666666,1.0,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,1.0,1.0,0.0,0.0
legacy_variant_heavy_19,all_candidates,19,165,ok,0.9676332141572546,0.9229859571322986,0.6,AOM_v0_multiview | TabPFN | tabpfn_opt | tabpfn_opt,TabPFN,0.952781246789,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,2.0,1.0,0.015951467118999973,0.017027070941979305
legacy_variant_heavy_19,no_tabpfn,19,161,ok,0.9660285205456731,0.9209627329192547,0.8,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-4-fixed | mean-ensemble-4-fixed,Meta-selector/MoE,1.02593528258,AOM_v0_MultiKernel | Multi-kernel ridge | MKM-reml-asls | MKM-reml-asls,Multi-kernel ridge,1.00944821401,5.0,1.0,0.01648706857000004,0.016332753222184415
legacy_variant_heavy_19,tabpfn_only,19,4,ok,0.3333333333333334,0.6666666666666666,1.0,AOM_v0_multiview | TabPFN | tabpfn_opt | tabpfn_opt,TabPFN,0.952781246789,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,2.0,1.0,0.015951467118999973,0.017027070941979305
legacy_variant_heavy_19,aom_pls_only,19,130,ok,0.9576456483972657,0.9111508646392368,0.8,AOM_v0 | AOM-PLS | SPXY-AOM-family-pruned-cv3-numpy | SPXY-AOM-family-pruned-cv3-numpy,AOM-PLS,1.0659431268850001,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,10.0,1.0,0.03242045171500019,0.031368882844943435
legacy_variant_heavy_19,aom_ridge_only,19,0,too_few_candidates,,,,,,,,,,,,,
legacy_variant_heavy_19,meta_selector_only,19,10,ok,0.8666666666666665,0.8666666666666667,0.8,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-4-fixed | mean-ensemble-4-fixed,Meta-selector/MoE,1.02593528258,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,3.0,1.0,0.008148648120000157,0.008006243984844064
legacy_variant_heavy_19,ridge_only,19,1,too_few_candidates,,,,,,,,,,,,,
legacy_variant_heavy_19,pls_only,19,3,ok,0.8660254037844387,0.6666666666666666,1.0,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,1.0,1.0,0.0,0.0
