database_name,dataset,task,model,result_label,result_dir,status,status_details,preprocessing_pipeline,balanced_accuracy_CV,balanced_accuracy_MF,balanced_accuracy_test,accuracy_MF,accuracy_test,f1_macro_MF,f1_macro_test,search_mean_score,metric_name,seed,n_splits,best_config_json,best_model_params_json,best_fold_scores_json,trial_values_json,search_results_path,best_config_path,final_predictions_path,fold_predictions_path,mf_source,artifact_best_config_format,artifact_search_results_format,artifact_final_predictions_format
COFFEE_orig,CoffeeType_kenstone70_strat,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/COFFEE_orig/CoffeeType_kenstone70_strat,ok,,ASLSBaseline + SNV,0.14285714285714285,0.15321869488536152,0.14285714285714285,0.15321869488536152,0.14285714285714285,0.05181270761593851,0.03571428571428571,0.1428571428571428,,42.0,3.0,"{""phase2"": ""None"", ""scatter"": ""SNV"", ""shape"": ""ASLSBaseline""}",,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/COFFEE_orig/CoffeeType_kenstone70_strat/CoffeeType_kenstone70_strat__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/COFFEE_orig/CoffeeType_kenstone70_strat/CoffeeType_kenstone70_strat__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/COFFEE_orig/CoffeeType_kenstone70_strat/CoffeeType_kenstone70_strat__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
FruitPuree,Strawberry2C_983_Holland_Acc94.3,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FruitPuree/Strawberry2C_983_Holland_Acc94.3,ok,,SG_21_3_2 + SNV + PCA_features_0.25,0.9269361394490737,0.962148915120345,0.972707705553164,0.9638607559909238,0.9747634069400631,0.9609573423575304,0.972707705553164,0.9269361394490736,,42.0,3.0,"{""phase2"": ""PCA_features_0.25"", ""scatter"": ""SNV"", ""shape"": ""SG_21_3_2""}",,"[0.8628302731751007, 0.9528658976207642, 0.9651122475513565]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FruitPuree/Strawberry2C_983_Holland_Acc94.3/Strawberry2C_983_Holland_Acc94.3__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FruitPuree/Strawberry2C_983_Holland_Acc94.3/Strawberry2C_983_Holland_Acc94.3__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FruitPuree/Strawberry2C_983_Holland_Acc94.3/Strawberry2C_983_Holland_Acc94.3__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
FUSARIUM,FinalScoreBin_grp70_30_classStrat,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FUSARIUM/FinalScoreBin_grp70_30_classStrat,ok,,SG_15_2_1 + SNV,0.5,0.5478749882596036,0.5,0.5742775742775743,0.6060606060606061,0.46065661093863275,0.37735849056603776,0.5,,42.0,3.0,"{""phase2"": ""None"", ""scatter"": ""SNV"", ""shape"": ""SG_15_2_1""}",,"[0.5, 0.5, 0.5]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FUSARIUM/FinalScoreBin_grp70_30_classStrat/FinalScoreBin_grp70_30_classStrat__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FUSARIUM/FinalScoreBin_grp70_30_classStrat/FinalScoreBin_grp70_30_classStrat__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FUSARIUM/FinalScoreBin_grp70_30_classStrat/FinalScoreBin_grp70_30_classStrat__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
FUSARIUM,ScoreBin_grp70_30_classStrat,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FUSARIUM/ScoreBin_grp70_30_classStrat,ok,,SG_15_2_1 + SNV,0.5,0.5483419893532253,0.5,0.7802479520919705,0.7914438502673797,0.518028114062941,0.4417910447761194,0.5,,42.0,3.0,"{""phase2"": ""None"", ""scatter"": ""SNV"", ""shape"": ""SG_15_2_1""}",,"[0.5, 0.5, 0.5]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FUSARIUM/ScoreBin_grp70_30_classStrat/ScoreBin_grp70_30_classStrat__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FUSARIUM/ScoreBin_grp70_30_classStrat/ScoreBin_grp70_30_classStrat__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/FUSARIUM/ScoreBin_grp70_30_classStrat/ScoreBin_grp70_30_classStrat__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
MALARIA,Oocist2C_333_Maia_Acc87.6,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/MALARIA/Oocist2C_333_Maia_Acc87.6,ok,,SG_15_3_2 + SNV,0.5,0.5200968698040916,0.5,0.5200968698040916,0.5,0.4828788875338148,0.3333333333333333,0.5,,42.0,3.0,"{""phase2"": ""None"", ""scatter"": ""SNV"", ""shape"": ""SG_15_3_2""}",,"[0.5, 0.5, 0.5]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/MALARIA/Oocist2C_333_Maia_Acc87.6/Oocist2C_333_Maia_Acc87.6__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/MALARIA/Oocist2C_333_Maia_Acc87.6/Oocist2C_333_Maia_Acc87.6__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/MALARIA/Oocist2C_333_Maia_Acc87.6/Oocist2C_333_Maia_Acc87.6__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
MALARIA,Sporozoite2C_229_Maia_Acc94.5,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/MALARIA/Sporozoite2C_229_Maia_Acc94.5,ok,,SG_15_3_2 + SNV + OSC,0.6949206349206349,0.5353901332162201,0.5,0.632967032967033,0.7582417582417582,0.5128858318691744,0.43125,0.6949206349206349,,42.0,3.0,"{""phase2"": ""OSC"", ""scatter"": ""SNV"", ""shape"": ""SG_15_3_2""}",,"[0.7561904761904762, 0.5, 0.8285714285714285]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/MALARIA/Sporozoite2C_229_Maia_Acc94.5/Sporozoite2C_229_Maia_Acc94.5__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/MALARIA/Sporozoite2C_229_Maia_Acc94.5/Sporozoite2C_229_Maia_Acc94.5__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/MALARIA/Sporozoite2C_229_Maia_Acc94.5/Sporozoite2C_229_Maia_Acc94.5__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
PISTACIA,Species_code_grpStrat70_30_bySpecimen,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/PISTACIA/Species_code_grpStrat70_30_bySpecimen,ok,,SG_15_3_2 + SNV + OSC,0.6682595917158669,0.6926388842094725,0.2,0.7569619619619619,0.2927927927927928,0.7042679545662822,0.09059233449477352,0.6682595917158669,,42.0,3.0,"{""phase2"": ""OSC"", ""scatter"": ""SNV"", ""shape"": ""SG_15_3_2""}",,"[0.9117806643737827, 0.9055985361046309, 0.18739957466918716]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/PISTACIA/Species_code_grpStrat70_30_bySpecimen/Species_code_grpStrat70_30_bySpecimen__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/PISTACIA/Species_code_grpStrat70_30_bySpecimen/Species_code_grpStrat70_30_bySpecimen__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/PISTACIA/Species_code_grpStrat70_30_bySpecimen/Species_code_grpStrat70_30_bySpecimen__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
Wood_Sustainability,C2_511_Davrieux_Acc82,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/Wood_Sustainability/C2_511_Davrieux_Acc82,ok,,SG_21_3_2 + SNV,0.5,0.6646669984977569,0.5,0.668558021499198,0.41830065359477125,0.6128405852270391,0.29493087557603687,0.5,,42.0,3.0,"{""phase2"": ""None"", ""scatter"": ""SNV"", ""shape"": ""SG_21_3_2""}",,"[0.5, 0.5, 0.5]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/Wood_Sustainability/C2_511_Davrieux_Acc82/C2_511_Davrieux_Acc82__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/Wood_Sustainability/C2_511_Davrieux_Acc82/C2_511_Davrieux_Acc82__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/Wood_Sustainability/C2_511_Davrieux_Acc82/C2_511_Davrieux_Acc82__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
Wood_Sustainability,C5_511_Davrieux_Acc82,classification,NICON,CNN,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/Wood_Sustainability/C5_511_Davrieux_Acc82,ok,,SG_15_3_2 + SNV + OSC,0.20000000000000004,0.34124249571183535,0.2,0.5007262164124909,0.3464052287581699,0.2699841265901819,0.1029126213592233,0.2,,42.0,3.0,"{""phase2"": ""OSC"", ""scatter"": ""SNV"", ""shape"": ""SG_15_3_2""}",,"[0.2, 0.2, 0.2]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/Wood_Sustainability/C5_511_Davrieux_Acc82/C5_511_Davrieux_Acc82__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/Wood_Sustainability/C5_511_Davrieux_Acc82/C5_511_Davrieux_Acc82__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/nicon_classif_final/Wood_Sustainability/C5_511_Davrieux_Acc82/C5_511_Davrieux_Acc82__final_predictions.csv,,preds/test/<tag>/fold_*.parquet,standard,csv,standard
ARABIDOPSIS_CEFE,Group_2185,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/ARABIDOPSIS_CEFE/Group_2185,partial,missing_search_results;missing_fold_test_predictions,,,,0.2850113355532436,,0.28091603053435116,,0.27096700578556787,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/ARABIDOPSIS_CEFE/Group_2185/Group_2185__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/ARABIDOPSIS_CEFE/Group_2185/Group_2185__final_predictions.csv,,,standard,,standard
ARABIDOPSIS_CEFE,InOut_1264,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/ARABIDOPSIS_CEFE/InOut_1264,partial,missing_search_results;missing_fold_test_predictions,,,,1.0,,1.0,,1.0,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/ARABIDOPSIS_CEFE/InOut_1264/InOut_1264__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/ARABIDOPSIS_CEFE/InOut_1264/InOut_1264__final_predictions.csv,,,standard,,standard
BEEF_Impurity,Beef_Impurity_60_AlJowder,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/BEEF_Impurity/Beef_Impurity_60_AlJowder,partial,missing_search_results;missing_fold_test_predictions,,,,0.9,,0.9,,0.8997668997668997,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/BEEF_Impurity/Beef_Impurity_60_AlJowder/Beef_Impurity_60_AlJowder__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/BEEF_Impurity/Beef_Impurity_60_AlJowder/Beef_Impurity_60_AlJowder__final_predictions.csv,,,standard,,standard
Cassava,CT2C_1057_CIAT_Acc,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Cassava/CT2C_1057_CIAT_Acc,partial,missing_search_results;missing_fold_test_predictions,,,,0.5361111111111111,,0.5555555555555556,,0.5296774193548387,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Cassava/CT2C_1057_CIAT_Acc/CT2C_1057_CIAT_Acc__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Cassava/CT2C_1057_CIAT_Acc/CT2C_1057_CIAT_Acc__final_predictions.csv,,,standard,,standard
COFFEE_orig,CoffeeType_kenstone70_strat,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/COFFEE_orig/CoffeeType_kenstone70_strat,partial,missing_search_results;missing_fold_test_predictions,,,,0.7619047619047619,,0.7619047619047619,,0.7129251700680272,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/COFFEE_orig/CoffeeType_kenstone70_strat/CoffeeType_kenstone70_strat__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/COFFEE_orig/CoffeeType_kenstone70_strat/CoffeeType_kenstone70_strat__final_predictions.csv,,,standard,,standard
COFFEE_sp,Species_56_Bagnall,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/COFFEE_sp/Species_56_Bagnall,partial,missing_search_results;missing_fold_test_predictions,,,,1.0,,1.0,,1.0,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/COFFEE_sp/Species_56_Bagnall/Species_56_Bagnall__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/COFFEE_sp/Species_56_Bagnall/Species_56_Bagnall__final_predictions.csv,,,standard,,standard
FruitPuree,Strawberry2C_983_Holland_Acc94.3,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FruitPuree/Strawberry2C_983_Holland_Acc94.3,partial,missing_search_results;missing_fold_test_predictions,,,,0.986353852776582,,0.9873817034700315,,0.986353852776582,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FruitPuree/Strawberry2C_983_Holland_Acc94.3/Strawberry2C_983_Holland_Acc94.3__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FruitPuree/Strawberry2C_983_Holland_Acc94.3/Strawberry2C_983_Holland_Acc94.3__final_predictions.csv,,,standard,,standard
FUSARIUM,FinalScoreBin_grp70_30_classStrat,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FUSARIUM/FinalScoreBin_grp70_30_classStrat,partial,missing_search_results;missing_fold_test_predictions,,,,0.7182692307692308,,0.7373737373737373,,0.7209756097560975,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FUSARIUM/FinalScoreBin_grp70_30_classStrat/FinalScoreBin_grp70_30_classStrat__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FUSARIUM/FinalScoreBin_grp70_30_classStrat/FinalScoreBin_grp70_30_classStrat__final_predictions.csv,,,standard,,standard
FUSARIUM,ScoreBin_grp70_30_classStrat,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FUSARIUM/ScoreBin_grp70_30_classStrat,partial,missing_search_results;missing_fold_test_predictions,,,,0.6619022869022869,,0.8235294117647058,,0.6850405757158169,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FUSARIUM/ScoreBin_grp70_30_classStrat/ScoreBin_grp70_30_classStrat__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/FUSARIUM/ScoreBin_grp70_30_classStrat/ScoreBin_grp70_30_classStrat__final_predictions.csv,,,standard,,standard
MALARIA,Oocist2C_333_Maia_Acc87.6,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MALARIA/Oocist2C_333_Maia_Acc87.6,partial,missing_search_results;missing_fold_test_predictions,,,,0.5094339622641509,,0.5094339622641509,,0.5087344028520498,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MALARIA/Oocist2C_333_Maia_Acc87.6/Oocist2C_333_Maia_Acc87.6__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MALARIA/Oocist2C_333_Maia_Acc87.6/Oocist2C_333_Maia_Acc87.6__final_predictions.csv,,,standard,,standard
MALARIA,Sporozoite2C_229_Maia_Acc94.5,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MALARIA/Sporozoite2C_229_Maia_Acc94.5,partial,missing_search_results;missing_fold_test_predictions,,,,0.594532279314888,,0.5494505494505495,,0.5265829209491182,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MALARIA/Sporozoite2C_229_Maia_Acc94.5/Sporozoite2C_229_Maia_Acc94.5__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MALARIA/Sporozoite2C_229_Maia_Acc94.5/Sporozoite2C_229_Maia_Acc94.5__final_predictions.csv,,,standard,,standard
MILK,labels_kenstone70_strat,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MILK/labels_kenstone70_strat,partial,missing_search_results;missing_fold_test_predictions,,,,1.0,,1.0,,1.0,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MILK/labels_kenstone70_strat/labels_kenstone70_strat__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/MILK/labels_kenstone70_strat/labels_kenstone70_strat__final_predictions.csv,,,standard,,standard
PISTACIA,Species_code_grpStrat70_30_bySpecimen,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/PISTACIA/Species_code_grpStrat70_30_bySpecimen,partial,missing_search_results;missing_fold_test_predictions,,,,0.716006150712033,,0.8067567567567567,,0.728709502873097,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/PISTACIA/Species_code_grpStrat70_30_bySpecimen/Species_code_grpStrat70_30_bySpecimen__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/PISTACIA/Species_code_grpStrat70_30_bySpecimen/Species_code_grpStrat70_30_bySpecimen__final_predictions.csv,,,standard,,standard
Wood_Sustainability,C2_511_Davrieux_Acc82,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Wood_Sustainability/C2_511_Davrieux_Acc82,partial,missing_search_results;missing_fold_test_predictions,,,,0.8544592696629214,,0.8562091503267973,,0.8528846153846155,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Wood_Sustainability/C2_511_Davrieux_Acc82/C2_511_Davrieux_Acc82__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Wood_Sustainability/C2_511_Davrieux_Acc82/C2_511_Davrieux_Acc82__final_predictions.csv,,,standard,,standard
Wood_Sustainability,C5_511_Davrieux_Acc82,classification,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Wood_Sustainability/C5_511_Davrieux_Acc82,partial,missing_search_results;missing_fold_test_predictions,,,,0.5307389937106918,,0.7647058823529411,,0.491002331002331,,balanced_accuracy,42.0,,,,,,,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Wood_Sustainability/C5_511_Davrieux_Acc82/C5_511_Davrieux_Acc82__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_classif_final/Wood_Sustainability/C5_511_Davrieux_Acc82/C5_511_Davrieux_Acc82__final_predictions.csv,,,standard,,standard
